,Play,Accuracy,Sequence Length,Epochs,Correct Guess Rate
0,1,1.0,7,42,0.273
1,2,0.8,7,54,0.25
2,3,0.8,8,8,0.231
3,4,0.833,8,54,0.286
4,5,1.0,9,1,0.333
5,6,0.833,10,66,0.312
6,7,0.857,10,59,0.294
7,8,0.857,11,22,0.278
8,9,0.875,11,44,0.263
9,10,0.875,12,21,0.3
10,11,0.875,13,7,0.333
11,12,0.889,13,29,0.364
12,13,0.889,14,0,0.391
13,14,0.8,14,18,0.417
14,15,0.9,15,18,0.44
15,16,0.8,16,2,0.423
16,17,0.818,16,3,0.407
17,18,0.818,17,18,0.429
18,19,0.833,17,94,0.448
19,20,0.833,18,90,0.433
20,21,0.833,19,69,0.419
21,22,0.846,19,65,0.438
22,23,0.846,20,52,0.424
23,24,0.857,20,75,0.412
24,25,0.857,21,64,0.4
25,26,0.857,22,68,0.389
26,27,0.8,22,56,0.378
27,28,0.867,23,55,0.395
28,29,0.812,23,69,0.385
29,30,0.812,24,82,0.375
30,31,0.812,25,81,0.366
31,32,0.824,25,75,0.357
32,33,0.824,26,73,0.349
33,34,0.833,26,54,0.341
34,35,0.833,27,33,0.356
35,36,0.833,28,57,0.37
36,37,0.842,28,86,0.383
37,38,0.842,29,77,0.375
38,39,0.8,29,68,0.367
39,40,0.8,30,56,0.36
40,41,0.8,31,62,0.353
41,42,0.81,31,67,0.346
42,43,0.81,32,55,0.34
43,44,0.818,32,78,0.333
44,45,0.818,33,68,0.327
45,46,0.818,34,55,0.339
46,47,0.826,34,73,0.333
47,48,0.826,35,73,0.328
48,49,0.833,35,85,0.322
49,50,0.833,36,88,0.317
50,51,0.833,37,70,0.311
51,52,0.8,37,55,0.323
52,53,0.8,38,47,0.317
53,54,0.808,38,83,0.328
54,55,0.808,39,57,0.323
55,56,0.808,40,64,0.333
56,57,0.815,40,106,0.328
57,58,0.815,41,90,0.324
58,59,0.821,41,78,0.319
59,60,0.821,42,65,0.329
60,61,0.857,43,67,0.324
61,62,0.828,43,61,0.319
62,63,0.828,44,113,0.329
63,64,0.8,44,101,0.338
64,65,0.8,45,64,0.333
65,66,0.8,46,50,0.342
66,67,0.806,46,63,0.338
67,68,0.806,47,59,0.333
68,69,0.812,47,72,0.342
69,70,0.812,48,72,0.35
70,71,0.812,49,66,0.346
71,72,0.818,49,60,0.354
72,73,0.818,50,64,0.349
73,74,0.824,50,101,0.357
74,75,0.824,51,96,0.353
75,76,0.824,52,65,0.349
76,77,0.8,52,113,0.345
77,78,0.8,53,54,0.341
78,79,0.806,53,91,0.337
79,80,0.806,54,57,0.333
80,81,0.806,55,96,0.33
81,82,0.811,55,77,0.326
82,83,0.811,56,69,0.333
83,84,0.816,56,98,0.33
84,85,0.816,57,61,0.326
85,86,0.816,58,96,0.323
86,87,0.821,58,72,0.33
87,88,0.821,59,83,0.327
88,89,0.8,59,58,0.333
89,90,0.8,60,56,0.34
90,91,0.8,61,49,0.347
91,92,0.805,61,73,0.343
92,93,0.805,62,58,0.35
93,94,0.81,62,82,0.346
94,95,0.81,63,64,0.352
95,96,0.81,64,66,0.358
96,97,0.814,64,118,0.364
97,98,0.814,65,86,0.361
98,99,0.841,65,120,0.367
99,100,0.818,66,83,0.373
100,101,0.841,67,118,0.369
101,102,0.8,67,111,0.375
102,103,0.8,68,171,0.372
103,104,0.826,68,97,0.377
104,105,0.804,69,89,0.383
105,106,0.804,70,349,0.388
106,107,0.851,70,107,0.385
107,108,0.809,71,80,0.39
108,109,0.812,71,100,0.395
109,110,0.812,72,68,0.4
110,111,0.833,73,98,0.397
111,112,0.816,73,78,0.402
112,113,0.816,74,148,0.407
113,114,0.8,74,71,0.411
114,115,0.8,75,93,0.408
115,116,0.82,76,101,0.413
116,117,0.804,76,88,0.417
117,118,0.804,77,93,0.414
118,119,0.808,77,78,0.411
119,120,0.808,78,115,0.408
120,121,0.808,79,92,0.412
121,122,0.83,79,90,0.417
122,123,0.811,80,116,0.414
123,124,0.815,80,119,0.418
124,125,0.815,81,57,0.422
125,126,0.815,82,82,0.426
126,127,0.8,82,92,0.423
127,128,0.8,83,69,0.428
128,129,0.804,83,90,0.432
129,130,0.804,84,68,0.436
130,131,0.804,85,82,0.433
131,132,0.807,85,66,0.437
132,133,0.807,86,98,0.434
133,134,0.81,86,63,0.431
134,135,0.81,87,61,0.434
135,136,0.81,88,133,0.432
136,137,0.814,88,90,0.435
137,138,0.814,89,82,0.432
138,139,0.8,89,68,0.436
139,140,0.8,90,83,0.433
140,141,0.8,91,60,0.43
141,142,0.803,91,88,0.434
142,143,0.803,92,87,0.431
143,144,0.806,92,102,0.435
144,145,0.806,93,107,0.432
145,146,0.806,94,87,0.436
146,147,0.81,94,63,0.433
147,148,0.81,95,108,0.43
148,149,0.812,95,92,0.434
149,150,0.812,96,70,0.431
150,151,0.812,97,55,0.435
151,152,0.8,97,60,0.438
152,153,0.8,98,49,0.436
153,154,0.803,98,71,0.433
154,155,0.803,99,88,0.43
155,156,0.803,100,95,0.434
156,157,0.806,100,96,0.431
157,158,0.821,101,58,0.429
158,159,0.809,101,150,0.432
159,160,0.809,102,158,0.429
160,161,0.809,103,101,0.427
161,162,0.812,103,108,0.43
162,163,0.812,104,110,0.434
163,164,0.8,104,70,0.431
164,165,0.8,105,105,0.434
165,166,0.8,106,80,0.432
166,167,0.803,106,67,0.429
167,168,0.803,107,91,0.433
168,169,0.806,107,107,0.436
169,170,0.819,108,87,0.439
170,171,0.806,109,102,0.436
171,172,0.808,109,82,0.44
172,173,0.808,110,80,0.443
173,174,0.811,110,87,0.44
174,175,0.811,111,101,0.438
175,176,0.811,112,100,0.441
176,177,0.8,112,132,0.439
177,178,0.8,113,97,0.441
178,179,0.803,113,96,0.444
179,180,0.803,114,92,0.442
180,181,0.803,115,78,0.445
181,182,0.805,115,68,0.448
182,183,0.818,116,67,0.446
183,184,0.808,116,75,0.443
