,Play,Accuracy,Sequence Length,Epochs,Correct Guess Rate
0,1,1.0,7,24,0.273
1,2,0.8,7,20,0.25
2,3,0.8,8,13,0.231
3,4,0.833,8,27,0.214
4,5,0.833,9,0,0.267
5,6,0.833,10,28,0.312
6,7,0.857,10,37,0.294
7,8,0.857,11,43,0.278
8,9,0.875,11,9,0.263
9,10,0.875,12,34,0.25
10,11,0.875,13,47,0.238
11,12,0.889,13,46,0.227
12,13,0.889,14,58,0.217
13,14,0.8,14,38,0.208
14,15,0.8,15,50,0.2
15,16,0.8,16,28,0.192
16,17,0.818,16,71,0.185
17,18,0.818,17,46,0.214
18,19,0.833,17,66,0.207
19,20,0.833,18,48,0.233
20,21,0.833,19,52,0.258
21,22,0.846,19,43,0.25
22,23,0.846,20,49,0.273
23,24,0.857,20,60,0.265
24,25,0.857,21,63,0.286
25,26,0.857,22,43,0.306
26,27,0.867,22,51,0.324
27,28,0.8,23,35,0.316
28,29,0.812,23,77,0.308
29,30,0.812,24,44,0.325
30,31,0.812,25,55,0.317
31,32,0.824,25,43,0.31
32,33,0.824,26,34,0.326
33,34,0.833,26,58,0.318
34,35,0.833,27,79,0.311
35,36,0.833,28,57,0.326
36,37,0.842,28,94,0.319
37,38,0.842,29,52,0.333
38,39,0.8,29,72,0.327
39,40,0.8,30,22,0.32
40,41,0.8,31,101,0.314
41,42,0.81,31,90,0.327
42,43,0.81,32,79,0.321
43,44,0.818,32,85,0.315
44,45,0.864,33,46,0.309
45,46,0.818,34,102,0.321
46,47,0.826,34,74,0.316
47,48,0.826,35,84,0.328
48,49,0.833,35,56,0.339
49,50,0.833,36,57,0.35
50,51,0.833,37,51,0.361
51,52,0.8,37,91,0.355
52,53,0.8,38,58,0.365
53,54,0.808,38,87,0.375
54,55,0.846,39,50,0.385
55,56,0.846,40,60,0.394
56,57,0.815,40,62,0.403
57,58,0.815,41,43,0.397
58,59,0.821,41,75,0.406
59,60,0.821,42,97,0.414
60,61,0.821,43,59,0.423
61,62,0.828,43,84,0.431
62,63,0.828,44,37,0.425
63,64,0.833,44,71,0.419
64,65,0.8,45,51,0.413
65,66,0.8,46,26,0.421
66,67,0.806,46,37,0.429
67,68,0.806,47,53,0.436
68,69,0.812,47,39,0.443
69,70,0.812,48,45,0.45
70,71,0.812,49,35,0.444
71,72,0.818,49,53,0.439
72,73,0.818,50,28,0.434
73,74,0.824,50,26,0.429
74,75,0.824,51,62,0.435
75,76,0.824,52,56,0.43
76,77,0.8,52,38,0.425
77,78,0.8,53,39,0.432
78,79,0.806,53,69,0.427
79,80,0.806,54,30,0.433
80,81,0.806,55,41,0.429
81,82,0.811,55,11,0.424
82,83,0.811,56,52,0.43
83,84,0.816,56,42,0.426
84,85,0.816,57,77,0.421
85,86,0.816,58,66,0.427
86,87,0.821,58,35,0.423
87,88,0.821,59,71,0.429
88,89,0.8,59,47,0.424
89,90,0.8,60,52,0.42
90,91,0.8,61,60,0.416
91,92,0.805,61,54,0.412
92,93,0.805,62,71,0.417
93,94,0.81,62,89,0.413
94,95,0.81,63,66,0.419
95,96,0.81,64,73,0.415
