,Play,Accuracy,Sequence Length,Epochs,Correct Guess Rate
0,1,1.0,7,0,0.182
1,2,1.0,7,0,0.25
2,3,1.0,8,0,0.308
3,4,0.833,8,0,0.286
4,5,0.833,9,22,0.267
5,6,0.833,10,9,0.25
6,7,0.857,10,0,0.294
7,8,0.857,11,91,0.333
8,9,0.875,11,76,0.316
9,10,0.875,12,49,0.35
10,11,0.875,13,39,0.333
11,12,0.889,13,76,0.364
12,13,0.889,14,50,0.348
13,14,0.8,14,29,0.333
14,15,0.8,15,5,0.36
15,16,0.8,16,4,0.385
16,17,0.818,16,52,0.407
17,18,0.818,17,0,0.429
18,19,0.833,17,79,0.414
19,20,0.833,18,61,0.4
20,21,0.833,19,50,0.387
21,22,0.846,19,73,0.375
22,23,0.846,20,90,0.394
23,24,0.857,20,32,0.412
24,25,0.857,21,56,0.429
25,26,0.929,22,46,0.444
26,27,0.8,22,23,0.459
27,28,0.8,23,10,0.474
28,29,0.812,23,13,0.462
29,30,0.812,24,53,0.45
30,31,0.812,25,35,0.463
31,32,0.824,25,49,0.452
32,33,0.824,26,45,0.465
33,34,0.833,26,44,0.477
34,35,0.833,27,34,0.489
35,36,0.833,28,8,0.5
36,37,0.842,28,18,0.489
37,38,0.842,29,98,0.479
38,39,0.8,29,19,0.469
39,40,0.8,30,83,0.48
40,41,0.8,31,33,0.471
41,42,0.81,31,32,0.481
42,43,0.857,32,27,0.491
43,44,0.818,32,54,0.5
44,45,0.818,33,27,0.509
45,46,0.818,34,23,0.5
46,47,0.826,34,24,0.491
47,48,0.87,35,42,0.483
48,49,0.833,35,44,0.492
49,50,0.833,36,20,0.5
50,51,0.833,37,66,0.508
51,52,0.8,37,19,0.516
52,53,0.8,38,37,0.508
53,54,0.846,38,18,0.516
54,55,0.808,39,34,0.523
55,56,0.808,40,53,0.515
56,57,0.889,40,46,0.522
57,58,0.815,41,34,0.529
58,59,0.821,41,38,0.536
59,60,0.821,42,26,0.543
60,61,0.821,43,35,0.549
61,62,0.828,43,51,0.556
62,63,0.862,44,54,0.562
63,64,0.8,44,56,0.568
64,65,0.8,45,36,0.573
65,66,0.8,46,41,0.579
66,67,0.806,46,34,0.584
67,68,0.806,47,29,0.577
68,69,0.812,47,44,0.57
69,70,0.812,48,34,0.575
70,71,0.812,49,22,0.58
71,72,0.818,49,73,0.585
72,73,0.818,50,19,0.59
73,74,0.824,50,40,0.595
74,75,0.824,51,61,0.6
75,76,0.824,52,39,0.593
76,77,0.8,52,36,0.598
77,78,0.8,53,22,0.602
78,79,0.806,53,31,0.596
79,80,0.806,54,70,0.6
80,81,0.806,55,85,0.604
81,82,0.838,55,38,0.609
82,83,0.865,56,10,0.602
83,84,0.816,56,41,0.606
84,85,0.816,57,25,0.611
85,86,0.816,58,37,0.615
86,87,0.821,58,52,0.619
87,88,0.846,59,32,0.622
88,89,0.8,59,25,0.616
89,90,0.825,60,39,0.61
90,91,0.825,61,39,0.614
91,92,0.805,61,41,0.618
92,93,0.805,62,24,0.621
93,94,0.833,62,49,0.625
94,95,0.81,63,39,0.629
95,96,0.81,64,53,0.632
96,97,0.814,64,15,0.626
97,98,0.814,65,45,0.63
98,99,0.841,65,43,0.633
99,100,0.818,66,68,0.636
100,101,0.841,67,40,0.64
101,102,0.8,67,99,0.643
102,103,0.8,68,39,0.637
103,104,0.804,68,25,0.64
104,105,0.804,69,68,0.643
105,106,0.804,70,27,0.647
106,107,0.809,70,27,0.65
107,108,0.809,71,48,0.653
108,109,0.812,71,66,0.655
109,110,0.833,72,34,0.658
110,111,0.833,73,11,0.661
111,112,0.816,73,18,0.664
112,113,0.837,74,44,0.667
113,114,0.8,74,64,0.669
114,115,0.8,75,35,0.672
115,116,0.84,76,31,0.667
116,117,0.804,76,35,0.669
117,118,0.804,77,44,0.672
118,119,0.808,77,89,0.674
119,120,0.827,78,27,0.677
120,121,0.808,79,39,0.679
121,122,0.83,79,30,0.682
122,123,0.849,80,24,0.684
123,124,0.815,80,39,0.687
124,125,0.815,81,40,0.689
125,126,0.815,82,40,0.691
126,127,0.8,82,27,0.693
127,128,0.8,83,49,0.688
128,129,0.804,83,27,0.691
129,130,0.804,84,164,0.693
130,131,0.804,85,47,0.695
131,132,0.825,85,43,0.697
132,133,0.807,86,50,0.699
133,134,0.81,86,47,0.701
134,135,0.828,87,38,0.697
135,136,0.81,88,88,0.692
136,137,0.814,88,38,0.694
137,138,0.831,89,34,0.696
138,139,0.8,89,49,0.698
139,140,0.8,90,69,0.7
140,141,0.833,91,45,0.702
141,142,0.836,91,42,0.704
142,143,0.803,92,41,0.706
143,144,0.839,92,20,0.708
144,145,0.806,93,19,0.71
145,146,0.806,94,48,0.712
146,147,0.825,94,16,0.713
147,148,0.81,95,47,0.709
148,149,0.812,95,49,0.711
149,150,0.828,96,111,0.712
150,151,0.828,97,30,0.714
151,152,0.815,97,43,0.716
152,153,0.8,98,31,0.718
153,154,0.818,98,26,0.72
154,155,0.803,99,26,0.715
155,156,0.848,100,39,0.717
156,157,0.806,100,31,0.719
157,158,0.821,101,85,0.72
158,159,0.809,101,9,0.722
159,160,0.838,102,36,0.724
160,161,0.809,103,46,0.725
161,162,0.812,103,23,0.727
162,163,0.812,104,46,0.728
163,164,0.814,104,50,0.73
164,165,0.8,105,31,0.731
165,166,0.829,106,9,0.733
166,167,0.817,106,54,0.729
167,168,0.817,107,30,0.73
168,169,0.847,107,24,0.732
169,170,0.819,108,20,0.733
170,171,0.833,109,22,0.735
171,172,0.808,109,37,0.736
172,173,0.808,110,30,0.732
173,174,0.811,110,49,0.734
174,175,0.811,111,104,0.735
175,176,0.811,112,18,0.737
176,177,0.8,112,45,0.738
177,178,0.8,113,32,0.739
178,179,0.855,113,35,0.741
179,180,0.803,114,40,0.742
180,181,0.855,115,11,0.743
181,182,0.805,115,15,0.745
182,183,0.857,116,49,0.746
183,184,0.808,116,77,0.747
184,185,0.821,117,15,0.744
185,186,0.808,118,68,0.74
186,187,0.823,118,32,0.741
187,188,0.823,119,49,0.742
188,189,0.825,119,27,0.744
189,190,0.812,120,38,0.745
190,191,0.8,121,17,0.746
191,192,0.84,121,50,0.748
192,193,0.802,122,41,0.744
193,194,0.817,122,46,0.745
194,195,0.805,123,48,0.746
195,196,0.805,124,23,0.748
196,197,0.831,124,7,0.749
