,Play,Accuracy,Sequence Length,Epochs,Correct Guess Rate
0,1,1.0,7,36,0.364
1,2,0.8,7,31,0.333
2,3,0.8,8,48,0.385
3,4,1.0,8,35,0.357
4,5,0.833,9,46,0.4
5,6,0.833,10,47,0.438
6,7,0.857,10,49,0.471
7,8,0.857,11,25,0.5
8,9,0.875,11,24,0.474
9,10,1.0,12,48,0.45
10,11,1.0,13,50,0.476
11,12,1.0,13,64,0.5
12,13,1.0,14,20,0.522
13,14,0.8,14,20,0.542
14,15,0.8,15,23,0.56
15,16,0.8,16,15,0.577
16,17,0.818,16,10,0.593
17,18,0.818,17,10,0.607
18,19,1.0,17,58,0.586
19,20,1.0,18,41,0.6
20,21,0.833,19,8,0.613
21,22,0.846,19,16,0.625
22,23,0.846,20,11,0.636
23,24,1.0,20,44,0.618
24,25,1.0,21,32,0.629
25,26,1.0,22,50,0.639
26,27,0.8,22,21,0.649
27,28,0.8,23,17,0.658
28,29,1.0,23,37,0.667
29,30,0.812,24,14,0.675
30,31,0.812,25,24,0.683
31,32,0.824,25,30,0.69
32,33,0.824,26,40,0.698
33,34,0.833,26,30,0.682
34,35,1.0,27,48,0.667
35,36,1.0,28,46,0.674
36,37,0.842,28,26,0.681
37,38,0.842,29,5,0.667
38,39,1.0,29,21,0.653
39,40,0.8,30,41,0.66
40,41,0.8,31,24,0.667
41,42,0.81,31,25,0.673
42,43,0.81,32,8,0.679
43,44,0.818,32,16,0.667
44,45,1.0,33,52,0.655
45,46,0.818,34,25,0.661
46,47,0.826,34,21,0.667
47,48,0.826,35,52,0.672
48,49,1.0,35,46,0.661
49,50,1.0,36,51,0.667
50,51,1.0,37,30,0.672
51,52,0.8,37,31,0.677
52,53,0.8,38,12,0.683
53,54,0.808,38,28,0.688
54,55,1.0,39,22,0.677
55,56,0.808,40,45,0.682
56,57,0.815,40,15,0.672
57,58,0.815,41,13,0.676
58,59,1.0,41,39,0.667
59,60,1.0,42,40,0.671
60,61,1.0,43,82,0.676
61,62,0.828,43,75,0.681
62,63,0.828,44,46,0.671
63,64,0.8,44,31,0.662
64,65,0.8,45,19,0.653
65,66,0.8,46,29,0.658
66,67,0.806,46,24,0.662
67,68,0.806,47,0,0.654
68,69,1.0,47,67,0.646
69,70,1.0,48,43,0.65
70,71,0.812,49,9,0.654
71,72,0.818,49,53,0.659
72,73,1.0,50,25,0.663
73,74,0.824,50,21,0.667
74,75,1.0,51,72,0.659
75,76,1.0,52,33,0.663
76,77,1.0,52,31,0.667
77,78,0.8,53,23,0.67
78,79,0.806,53,9,0.663
79,80,0.806,54,32,0.656
80,81,0.806,55,24,0.659
81,82,0.811,55,25,0.663
82,83,0.811,56,16,0.667
83,84,1.0,56,74,0.66
84,85,1.0,57,34,0.663
85,86,1.0,58,68,0.667
86,87,1.0,58,42,0.67
87,88,0.821,59,35,0.673
88,89,0.8,59,16,0.667
89,90,0.8,60,41,0.67
90,91,0.8,61,23,0.673
91,92,0.805,61,34,0.676
92,93,0.805,62,33,0.68
93,94,1.0,62,32,0.673
94,95,1.0,63,30,0.676
95,96,1.0,64,29,0.679
96,97,0.814,64,22,0.682
97,98,0.814,65,32,0.676
98,99,1.0,65,62,0.679
99,100,1.0,66,54,0.682
100,101,1.0,67,43,0.685
101,102,0.8,67,66,0.688
102,103,0.8,68,51,0.69
103,104,1.0,68,24,0.684
104,105,0.804,69,23,0.687
105,106,0.804,70,68,0.69
106,107,0.809,70,24,0.692
107,108,0.809,71,5,0.695
108,109,1.0,71,36,0.697
109,110,0.812,72,37,0.7
110,111,1.0,73,44,0.702
111,112,1.0,73,42,0.705
112,113,0.816,74,35,0.707
113,114,0.8,74,32,0.702
114,115,0.8,75,16,0.704
115,116,0.8,76,32,0.698
116,117,0.804,76,5,0.701
117,118,1.0,77,35,0.703
118,119,1.0,77,36,0.705
119,120,0.808,78,17,0.708
120,121,0.808,79,18,0.702
121,122,0.811,79,17,0.705
122,123,0.811,80,7,0.707
123,124,0.815,80,38,0.701
124,125,1.0,81,23,0.696
125,126,1.0,82,46,0.699
126,127,0.8,82,29,0.701
127,128,0.8,83,26,0.703
128,129,0.804,83,36,0.705
129,130,0.804,84,46,0.7
130,131,1.0,85,41,0.702
131,132,0.807,85,14,0.704
132,133,1.0,86,14,0.706
133,134,0.81,86,10,0.708
134,135,1.0,87,58,0.71
135,136,1.0,88,55,0.712
136,137,1.0,88,37,0.714
137,138,0.814,89,15,0.716
138,139,0.8,89,10,0.711
139,140,0.8,90,33,0.713
140,141,0.8,91,7,0.715
141,142,0.803,91,27,0.717
142,143,0.803,92,24,0.719
143,144,1.0,92,32,0.721
144,145,1.0,93,40,0.723
145,146,0.806,94,53,0.724
146,147,0.81,94,32,0.726
147,148,0.81,95,11,0.728
148,149,0.812,95,10,0.723
149,150,1.0,96,78,0.719
150,151,1.0,97,32,0.72
151,152,0.8,97,22,0.722
152,153,0.8,98,13,0.718
153,154,1.0,98,37,0.72
154,155,0.803,99,6,0.721
155,156,0.803,100,12,0.723
156,157,0.806,100,27,0.725
157,158,0.806,101,0,0.726
158,159,1.0,101,38,0.722
159,160,1.0,102,34,0.724
160,161,0.809,103,40,0.725
161,162,1.0,103,77,0.727
162,163,1.0,104,5,0.728
163,164,0.8,104,18,0.73
164,165,0.8,105,11,0.731
165,166,0.8,106,30,0.733
166,167,0.803,106,6,0.734
167,168,0.803,107,24,0.736
168,169,0.806,107,21,0.737
169,170,1.0,108,14,0.739
170,171,0.806,109,22,0.74
171,172,0.808,109,14,0.742
172,173,0.808,110,17,0.743
173,174,1.0,110,43,0.739
174,175,1.0,111,38,0.741
175,176,1.0,112,68,0.742
176,177,0.8,112,3,0.743
177,178,0.8,113,20,0.745
178,179,1.0,113,71,0.741
179,180,0.803,114,38,0.742
180,181,0.803,115,21,0.743
181,182,0.805,115,8,0.745
182,183,0.805,116,4,0.746
183,184,1.0,116,37,0.742
184,185,1.0,117,38,0.744
185,186,1.0,118,28,0.745
186,187,1.0,118,47,0.746
187,188,0.81,119,9,0.747
188,189,0.8,119,5,0.744
189,190,0.8,120,11,0.745
190,191,0.8,121,21,0.746
191,192,0.802,121,25,0.748
192,193,0.802,122,32,0.749
193,194,1.0,122,32,0.745
194,195,1.0,123,50,0.746
195,196,0.805,124,25,0.748
196,197,0.807,124,12,0.749
197,198,0.807,125,21,0.75
198,199,1.0,125,45,0.746
199,200,1.0,126,50,0.748
200,201,1.0,127,38,0.749
201,202,0.8,127,18,0.75
202,203,0.8,128,6,0.751
203,204,1.0,128,34,0.752
204,205,0.802,129,16,0.753
205,206,0.802,130,49,0.755
206,207,0.805,130,10,0.751
207,208,1.0,131,29,0.752
208,209,0.807,131,9,0.753
209,210,1.0,132,33,0.75
210,211,1.0,133,27,0.751
211,212,1.0,133,49,0.752
212,213,0.809,134,43,0.753
